ProteinName	LE_1-12_10_10	LE_1-12_103_103	LE_1-12_104_104	LE_1-12_22_22	LE_1-12_23_23	LE_1-12_24_24	LE_1-12_36_36	LE_1-12_37_37	LE_1-12_38_38	LE_1-12_50_50	LE_1-12_51_51	LE_1-12_52_52	LE_1-12_66_66	LE_1-12_67_67	LE_1-12_68_68	LE_1-12_69_69	LE_1-12_8_8	LE_1-12_88_88	LE_1-12_89_89	LE_1-12_9_9	LE_1-12_90_90	LE_1-12_91_91	LE_1-12_92_92	LE_1-25_101_101	LE_1-25_102_102	LE_1-25_18_18	LE_1-25_19_19	LE_1-25_20_20	LE_1-25_32_32	LE_1-25_33_33	LE_1-25_34_34	LE_1-25_46_46	LE_1-25_47_47	LE_1-25_49_49	LE_1-25_5_5	LE_1-25_6_6	LE_1-25_61_61	LE_1-25_63_63	LE_1-25_64_64	LE_1-25_65_65	LE_1-25_7_7	LE_1-25_80_80	LE_1-25_82_82	LE_1-25_83_83	LE_1-25_85_85	LE_1-25_87_87	LE_1-6_105_105	LE_1-6_106_106	LE_1-6_11_11	LE_1-6_12_12	LE_1-6_13_13	LE_1-6_26_26	LE_1-6_27_27	LE_1-6_28_28	LE_1-6_39_39	LE_1-6_41_41	LE_1-6_42_42	LE_1-6_53_53	LE_1-6_54_54	LE_1-6_55_55	LE_1-6_70_70	LE_1-6_71_71	LE_1-6_72_72	LE_1-6_74_74	LE_1-6_93_93	LE_1-6_94_94	LE_1-6_95_95	LE_1-6_96_96	LE_1-6_97_97	Lymphnode_1_1	Lymphnode_100_100	Lymphnode_130_130	Lymphnode_16_16	Lymphnode_17_17	Lymphnode_2_2	Lymphnode_29_29	Lymphnode_30_30	Lymphnode_31_31	Lymphnode_4_4	Lymphnode_43_43	Lymphnode_44_44	Lymphnode_45_45	Lymphnode_56_56	Lymphnode_57_57	Lymphnode_58_58	Lymphnode_60_60	Lymphnode_75_75	Lymphnode_76_76	Lymphnode_77_77	Lymphnode_78_78	Lymphnode_79_79	Lymphnode_98_98
A0A075B6H9	251369	150332	0	0	419840	0	349356	297185	548774	341627	193939	267786	662995	228398	142899	60270.4	96746.9	497844	235691	669912	522181	435677	565497	1993400	271774	0	0	0	2642200	294635	84392.5	928857	171949	680622	0	141667	174605	110043	636966	231642	604624	227852	843020	727918	650632	262296	1152680	2011690	182087	402828	229152	0	326465	250113	541282	348867	195442	808540	601743	406317	503889	265022	716117	303999	347156	365262	435768	231076	618189	88452.1	370746	896140	324943	592801	0	374675	344578	760038	403062	1097520	207785	1518600	305734	265441	411028	2751030	206874	169352	428216	362804	254213	215795
A0A0A0MS15	3010500	1419850	889339	116433	280318	705625	0	326820	0	0	105071	709887	773476	195983	0	191771	198627	834660	506663	190925	923454	1778250	1290460	2897410	0	1645420	778656	78807.6	1408730	955781	1085580	1621920	799698	1606900	221220	0	412975	199703	3326610	526837	894178	798922	1049630	1274870	0	886987	2637250	1788090	0	357172	823686	435669	463166	0	0	1276550	2005880	0	1144840	2722520	731784	952762	440122	1441900	1012310	225707	2973350	1341730	2649810	0	1260680	697284	517294	485190	259909	0	711330	1986690	1296700	840985	557542	2576900	1621590	879426	301477	639549	303061	443973	400374	572299	157948	871298
A0A0B4J1X5	3794920	1327440	1074720	1020000	1784470	2040550	1021820	2079530	3610260	7278670	223779	3056840	4097590	5306840	215009	37712.2	951370	5823220	5971640	2631460	6000290	5564430	7265390	6159100	0	3543920	2140600	1485220	4147250	1498440	2147400	4415590	2816370	4561950	766665	662911	1658860	1101140	6650520	1908930	2036320	4314830	3483770	2536390	2593740	0	3802790	4958140	888730	0	1210210	1615490	1910140	0	0	6692490	4067800	2727850	7055490	9583540	1200920	6660880	4265410	2925040	0	6509200	11179200	3498120	8130780	579739	1819640	1367160	1426410	1812720	1503690	2315290	1515410	5716750	1625830	4421310	1416760	9089340	932702	2463270	514300	3075890	2547990	527800	1484000	588413	1240360	2257570
A0A0C4DH31	127991	0	0	0	0	32507.4	0	0	0	0	0	89448.4	0	32433.8	0	0	0	157570	0	172819	39679.8	63183.3	34630.1	460505	0	0	0	0	79601.8	0	60192.7	0	44834.6	0	6810.65	0	0	0	45773.7	43692.7	0	14962.4	0	0	0	0	0	73153.4	0	0	0	0	0	0	0	0	60662	0	0	0	171156	0	0	97712.7	0	0	36044.8	83385.1	0	0	0	0	0	0	0	63297	0	57264.2	0	316605	0	289076	0	35679.2	0	89241.3	0	24871.9	0	0	0	0
A0A0C4DH38	0	0	0	0	1256190	0	0	0	0	658480	0	61647.4	626040	7195.88	0	0	0	930964	497882	0	979315	0	0	3385771	0	0	0	0	6511445	0	0	608834	43090.3	935412.4	0	0	803607	514203	1660460	0	0	491395	0	1781260	0	0	0	1032160	0	0	0	0	0	0	0	1510370	1469569	1145890	925134	1223030	1186422.4	644506	646177	1773450	904692	0	0	54218	0	0	744177	0	794105	0	0	0	456112	355495	0	1098049	768790	2415038	0	0	340639	286607	0	243697	0	0	0	1122410
A0AVT1	6197836	5877114.1	7391009	5802120	12615164	6549576.8	10020435	8783074.2	13206783	8633189	3680335	8406167	9446955	9246239	2696070.4	3213198	10675592	11167828	9453379	18760757	8568832	9248289	11178020	20617678	3713620	6124053	7548683	14011835	14044078	9543283	15618972	16029100	11381655	5038119	14553243.1	2667152	11436588	6878302	13831190	15222563	13245484.1	12990233	14922106	11904381	14063191	13016454	8906584.4	14847578	10411562.6	10747486	9399586.4	4889355	9806561.8	2857550	8521064	12605567	12147646	5510202	12134249	13411833.8	10359541	10744641	17502387	17820803	9679252	8668721	18798160	11517579	10193561.9	3460439	11280049.1	9202913.7	15697322.6	17165776	26783467	13877492	17042614	18040280	7215461	14302029	14869256	16046600	11500510	12321780	14757988	11430836	11840046	7066340.4	11584430	5174830	8779639	12676845
A0FGR8	5785270	8132919.3	7144528	6579611	20237897	6332698	13112433	6908522	20528573	9305999	1440584	9917043	4491987	7234435	2823965	1935355.5	10580129	7579648	11201060.6	15615670	10395114	11723989	12700238	7368645.3	3904527	9321451.5	5149770	6363640	11170846	7400250	17455942	14826103	15698857	8536011	7096396	569810	10858418	7353034	14799775	14330741	7663448	10785988	18924881	12203483.3	13010229	13471447	7361668	15273691	9904709	14477804	15907183	5264736	11673519.2	964197	8242785	14530909	16458427	4140191	6925741	12025554	10439750.1	10775374	18159444	15778026	10431368	5058919	14941617	12921077	10615170	2785470	8109327	5901443.7	10626495.9	14128319	22184892	8822666.2	21263205	17426008	7838905.1	16786595	9885761	21449494	7198140	9424728	6994586	8576583	7113253.3	5968624	10027161	4767092	9478073	13331719
A0MZ66	1652278.8	1610110	167256	810305	2190427.4	2108152	3389286	5610939	4125334	1422952	474682	1218827	0	0	0	121799	1951875.6	938641	1950563	5875369	803320	758744	2742639	991448	0	28589.1	7957066	1652617	1651779.6	596613	876805	3233380	2578887	874203	2552880	168968	1427390	172737	4226989.3	3860293	1435875	1268762	4640522	2183914	3156610	4736410.5	4215398	3902354	678841	1715949	4015414	72801	0	1484492	597185	5338329	2047702.6	1133330	5659049	2182386	2795870	891040	538206	3977360	1979231	2668418	5381769	424357	3784080	1168568	396109	1845800.9	4525849.1	5296487.2	6712368.1	2143561.6	6201559	2065973	1812321	3130066	0	4997269	2605215	1399457	429891	326582	2043807	1448056	2587895	101023	2081759	3285176
A1A5B4	0	949577	0	0	2855250	0	2722870	0	0	0	0	0	0	435572	0	0	756674	931355	1575270	2893810	1399820	0	0	0	0	0	0	0	0	0	0	0	2189030	1275570	0	0	1232570	0	0	1034020	0	0	3134620	2506520	0	0	0	3019190	0	0	0	198181	0	0	1931890	2277770	1092420	0	0	1756990	1455880	1545200	0	2436930	0	0	1537410	1208510	1068050	846897	2024730	0	0	2614560	0	0	431471	0	761474	0	0	2706920	0	1146900	1823960	0	667249	0	1421820	0	0	0
A1L0T0	782352	2557690	2005108.4	1248974	4986830	0	7388845	2537023	2621787	8561970	206930	7477960	137351	14750735	3310690	0	3168822	3210445	8461475.2	4861100	1411238	1498886	8263039	6888140	958767	2530940	1191164	894589	2092641	1762180	8309975	3727326	3176897	1802045	1365986	912697	1570560	3700923	6858170	4382862	4559667	7647610	2527078	1368449	7984250	7473750	7894710	11338343	3327851	2508166	6680084	1237215	56112.1	0	1421850	10360697	1615206	4461078	1902501	2209242.9	6500786	8236517.2	6437018	10345452	11680568	1826350	1859354	1869829	2303457	1809004	5533993	4114030	3560213	2503786	4127277	3392921	7961382	3487645	972253	2060497	1400188.7	6789671	1232160	8338315.3	2003160	1262950	2761037	453723	9730600	2010540	577963	7255480.5
A2RRP1	166096.8	56231.6	69741.5	56480.9	107754	70952.2	33758.2	59750.8	115623	171038.4	30006.9	190444.9	0	50232.1	58511.4	28319.63	167600.7	367404.6	12870.7	85677.1	83716.51	6776.44	150176.7	220723	0	214136.7	153419	0	371860.5	157078	125341	227984.8	77522.1	109195	164755	0	0	0	0	45243.7	263035	63483	202677.9	243300	322396	43086.8	0	182558.9	0	222729.2	134111.3	142207	0	101363	0	365745	167975.5	29457.1	72888	265941.2	143401.7	135191.2	282990.5	112749	28250.1	47460.6	65600.1	138087.15	64680.9	87965.8	68021.3	0	171689	0	591722.3	370459	315243.3	246071.9	141227.7	215679.2	192709.3	332347	0	297343.6	343260.3	69193.1	254538.7	142948.6	313971.1	134236.6	139478	0
A2RTX5	0	0	324639	0	673867	0	594830	540873	466599	356705	0	439977	309288	347330	99309.2	117325	293207	443559	156560	664578	215681	262309	249724	451390	0	108215	0	348367	433836	248044	348123	517140	396873	292672	320523	51517.6	0	0	361424	515652	561525	323123	635288	394378	0	229376	135346	188214	313301	455385	325074	84005.2	358184	0	0	520107	584332	203213	342692	354382	321231	425810	692510	813378	209382	157781	497263	188590	304433	0	74908.5	303571	365109	503666	838285	0	722698	512838	328607	303924	535584	643556	149936	189139	162457	178710	696708	105133	512389	0	198982	223427
A3KMH1	1223486	321219	464032	923475	2271228	316263	1214510	1059044	1620605	2767248	0	3057665	2852093	1862952	723203	693164	0	559211	3577492	1765335	3676443	2945045	594614	356408	0	1173963	1064638.8	1142889	1402104	1174879	2200490	1279284	385172	305814	1269602	113295	2139640	272327	654508	1163687	2313908	3530682	10591903	3731196	3616902	4177035	0	2986210	1603719	1399688	725331	0	1707261	0	0	9091361	1518945	2395370	2693239	5145739	1684544	4367289	1241236	2310426	366015	2870896	4359026	3963217	2789460	761891	137519	887351	1064470	1486176	4827296	3128754	677586	2758290	1232803	4954022	1274296	6359276	3012915	4208520	275880	866676	2323095	2342355	2224650	657639	310700	2152494
