Entry	Entry name
A0A075B6H9	LV469_HUMAN
A0A0A0MS15	HV349_HUMAN
A0A0B4J1X5	HV374_HUMAN
A0A0C4DH31	HV118_HUMAN
A0A0C4DH38	HV551_HUMAN
A0AVT1	UBA6_HUMAN
A0FGR8	ESYT2_HUMAN
A0MZ66	SHOT1_HUMAN
A1A5B4	ANO9_HUMAN
A1L0T0	HACL2_HUMAN
A2RRP1	NBAS_HUMAN
A2RTX5	SYTC2_HUMAN
A3KMH1	VWA8_HUMAN
A3KN83	SBNO1_HUMAN
A4D1P6	WDR91_HUMAN
A4D1U4	DEN11_HUMAN
A4FU69	EFCB5_HUMAN
A5YKK6	CNOT1_HUMAN
A6NC98	CC88B_HUMAN
A6NDG6	PGP_HUMAN
A6NHL2	TBAL3_HUMAN
A6NHQ2	FBLL1_HUMAN
A6NHR9	SMHD1_HUMAN
A6NIH7	U119B_HUMAN
A6NIK2	LR10B_HUMAN
B0I1T2	MYO1G_HUMAN
B9A064	IGLL5_HUMAN
C9JLW8	MCRI1_HUMAN
E9PRG8	CK098_HUMAN
L0R6Q1	S35U4_HUMAN
O00116	ADAS_HUMAN
O00139	KIF2A_HUMAN
O00148	DX39A_HUMAN
O00151	PDLI1_HUMAN
O00159	MYO1C_HUMAN
O00160	MYO1F_HUMAN
O00161	SNP23_HUMAN
O00165	HAX1_HUMAN
O00170	AIP_HUMAN
O00178	GTPB1_HUMAN
O00182	LEG9_HUMAN
O00186	STXB3_HUMAN
O00193	SMAP_HUMAN
O00203	AP3B1_HUMAN
O00214	LEG8_HUMAN
O00217	NDUS8_HUMAN
O00221	IKBE_HUMAN
O00231	PSD11_HUMAN
O00232	PSD12_HUMAN
O00233	PSMD9_HUMAN
O00244	ATOX1_HUMAN
O00255	MEN1_HUMAN
O00264	PGRC1_HUMAN
O00267	SPT5H_HUMAN
O00273	DFFA_HUMAN
O00291	HIP1_HUMAN
O00299	CLIC1_HUMAN
O00303	EIF3F_HUMAN
O00329	PK3CD_HUMAN
O00330	ODPX_HUMAN
O00339	MATN2_HUMAN
O00400	ACATN_HUMAN
O00410	IPO5_HUMAN
O00422	SAP18_HUMAN
O00429	DNM1L_HUMAN
O00442	RTCA_HUMAN
O00459	P85B_HUMAN
O00461	GOLI4_HUMAN
O00468	AGRIN_HUMAN
O00471	EXOC5_HUMAN
O00478	BT3A3_HUMAN
O00479	HMGN4_HUMAN
O00483	NDUA4_HUMAN
O00487	PSDE_HUMAN
O00499	BIN1_HUMAN
O00501	CLD5_HUMAN
O00505	IMA4_HUMAN
O00534	VMA5A_HUMAN
O00541	PESC_HUMAN
O00560	SDCB1_HUMAN
O00567	NOP56_HUMAN
O00571	DDX3X_HUMAN
O00584	RNT2_HUMAN
O00585	CCL21_HUMAN
O00635	TRI38_HUMAN
O00712	NFIB_HUMAN
O00743	PPP6_HUMAN
O00750	P3C2B_HUMAN
O00754	MA2B1_HUMAN
O00764	PDXK_HUMAN
O14495	PLPP3_HUMAN
O14497	ARI1A_HUMAN
O14526	FCHO1_HUMAN
O14530	TXND9_HUMAN
O14545	TRAD1_HUMAN
O14548	COX7R_HUMAN
O14558	HSPB6_HUMAN
O14561	ACPM_HUMAN
O14569	C56D2_HUMAN
O14579	COPE_HUMAN
O14617	AP3D1_HUMAN
O14618	CCS_HUMAN
O14639	ABLM1_HUMAN
O14647	CHD2_HUMAN
O14653	GOSR2_HUMAN
O14656	TOR1A_HUMAN
O14662	STX16_HUMAN
O14672	ADA10_HUMAN
O14683	P5I11_HUMAN
O14684	PTGES_HUMAN
O14735	CDIPT_HUMAN
O14737	PDCD5_HUMAN
O14744	ANM5_HUMAN
O14745	NHRF1_HUMAN
O14773	TPP1_HUMAN
O14776	TCRG1_HUMAN
O14787	TNPO2_HUMAN
O14791	APOL1_HUMAN
O14818	PSA7_HUMAN
O14828	SCAM3_HUMAN
O14874	BCKD_HUMAN
O14879	IFIT3_HUMAN
O14880	MGST3_HUMAN
O14907	TX1B3_HUMAN
O14908	GIPC1_HUMAN
O14920	IKKB_HUMAN
O14929	HAT1_HUMAN
O14933	UB2L6_HUMAN
O14939	PLD2_HUMAN
O14949	QCR8_HUMAN
O14964	HGS_HUMAN
O14966	RAB7L_HUMAN
O14972	VP26C_HUMAN
O14974	MYPT1_HUMAN
O14976	GAK_HUMAN
O14979	HNRDL_HUMAN
O14980	XPO1_HUMAN
O14981	BTAF1_HUMAN
O15027	SC16A_HUMAN
O15031	PLXB2_HUMAN
O15042	SR140_HUMAN
O15047	SET1A_HUMAN
O15050	TRNK1_HUMAN
O15061	SYNEM_HUMAN
O15067	PUR4_HUMAN
O15075	DCLK1_HUMAN
O15116	LSM1_HUMAN
O15117	FYB1_HUMAN
O15118	NPC1_HUMAN
O15126	SCAM1_HUMAN
O15127	SCAM2_HUMAN
O15143	ARC1B_HUMAN
O15144	ARPC2_HUMAN
O15145	ARPC3_HUMAN
O15160	RPAC1_HUMAN
O15162	PLS1_HUMAN
O15173	PGRC2_HUMAN
O15182	CETN3_HUMAN
O15212	PFD6_HUMAN
O15230	LAMA5_HUMAN
O15247	CLIC2_HUMAN
O15254	ACOX3_HUMAN
O15258	RER1_HUMAN
O15260	SURF4_HUMAN
O15264	MK13_HUMAN
O15269	SPTC1_HUMAN
O15270	SPTC2_HUMAN
O15294	OGT1_HUMAN
O15305	PMM2_HUMAN
O15327	INP4B_HUMAN
O15355	PPM1G_HUMAN
O15357	SHIP2_HUMAN
O15371	EIF3D_HUMAN
O15372	EIF3H_HUMAN
O15379	HDAC3_HUMAN
O15382	BCAT2_HUMAN
O15400	STX7_HUMAN
O15498	YKT6_HUMAN
O15511	ARPC5_HUMAN
O15523	DDX3Y_HUMAN
O15533	TPSN_HUMAN
O15541	R113A_HUMAN
O43143	DHX15_HUMAN
O43148	MCES_HUMAN
O43149	ZZEF1_HUMAN
O43169	CYB5B_HUMAN
O43172	PRP4_HUMAN
O43175	SERA_HUMAN
O43181	NDUS4_HUMAN
O43189	PHF1_HUMAN
O43237	DC1L2_HUMAN
O43242	PSMD3_HUMAN
O43252	PAPS1_HUMAN
O43264	ZW10_HUMAN
O43290	SNUT1_HUMAN
O43293	DAPK3_HUMAN
O43294	TGFI1_HUMAN
O43299	AP5Z1_HUMAN
O43301	HS12A_HUMAN
O43312	MTSS1_HUMAN
O43324	MCA3_HUMAN
O43390	HNRPR_HUMAN
O43395	PRPF3_HUMAN
O43396	TXNL1_HUMAN
O43399	TPD54_HUMAN
O43414	ERI3_HUMAN
O43426	SYNJ1_HUMAN
O43427	FIBP_HUMAN
O43447	PPIH_HUMAN
O43464	HTRA2_HUMAN
O43488	ARK72_HUMAN
O43491	E41L2_HUMAN
O43493	TGON2_HUMAN
O43504	LTOR5_HUMAN
O43516	WIPF1_HUMAN
O43521	B2L11_HUMAN
O43566	RGS14_HUMAN
O43583	DENR_HUMAN
O43586	PPIP1_HUMAN
O43592	XPOT_HUMAN
O43598	DNPH1_HUMAN
O43615	TIM44_HUMAN
O43617	TPPC3_HUMAN
O43633	CHM2A_HUMAN
O43660	PLRG1_HUMAN
O43663	PRC1_HUMAN
